Time,kappa,pos,vel,acc,p1,p2,f
2.54,0.432457324,0.492670037,0.008822109,0.866249777,2943184.539,4756915.15,10907.06748
2.55,0.427639826,0.492800947,0.017360856,0.841560015,2882024.987,4818066.489,10848.27663
2.56,0.423243494,0.493015681,0.025587385,0.803796859,2825705.392,4874375.855,10757.76774
2.57,0.41933766,0.493310483,0.033374826,0.753730392,2775040.466,4925029.096,10637.63632
2.58,0.415983923,0.49368037,0.040604891,0.692307233,2730740.723,4969316.302,10490.47579
2.59,0.413235172,0.49411923,0.047169464,0.620616263,2693408.703,5006635.54,10319.26707
2.6,0.411134756,0.494619925,0.052971854,0.539854999,2663537.883,5036493.916,10127.26718
2.61,0.409715802,0.495174411,0.057927733,0.451299282,2641513.426,5058506.794,9917.905777
2.62,0.409000685,0.495773869,0.061965794,0.3562784,2627613.902,5072396.063,9694.696662
2.63,0.409000685,0.496408832,0.065028196,0.256156871,2622013.151,5077988.255,9461.168817
2.64,0.409715802,0.497069322,0.067070859,0.152323181,2624781.656,5075213.169,9220.818662
2.65,0.411134756,0.497744993,0.068063683,0.046184809,2635886.983,5064103.42,8977.082461
2.66,0.413235172,0.498425265,0.067990733,-0.060832064,2655193.146,5044795.073,8733.325426
2.67,0.415983923,0.499099475,0.066850444,-0.167280396,2682459.017,5017529.228,8492.84225
2.68,0.41933766,0.499757012,0.064655832,-0.271690424,2717336.196,4982654.147,8258.862726
2.69,0.423243494,0.500387473,0.061434724,-0.372570896,2759366.979,4940627.294,8034.555875
2.7,0.427639826,0.500980806,0.057229932,-0.468416012,2807983.218,4892016.476,7823.026567
2.71,0.432457324,0.501527463,0.05209933,-0.557720004,2862506.951,4837499.224,7627.299942
2.72,0.437620013,0.50201855,0.046115737,-0.63900041,2922153.65,4777859.57,7450.290885
2.73,0.443046474,0.502445972,0.039366525,-0.710829882,2986038.777,4713981.517,7294.758149
2.74,0.448651129,0.502802579,0.031952873,-0.771875144,3053188.085,4646838.772,7163.245153
2.75,0.45434559,0.503082295,0.023988608,-0.820940479,3122551.799,4577480.604,7058.011737
2.76,0.46004005,0.503280237,0.01559861,-0.857012285,3193022.429,4507014.078,6980.962839
2.77,0.465644705,0.503392817,0.006916777,-0.879300692,3263455.604,4436583.251,6933.580921
2.78,0.471071166,0.50341782,-0.001916384,-0.887274333,3332693.04,4367346.238,6916.868881
2.79,0.476233855,0.503354454,-0.010756467,-0.880684971,3399586.559,4300451.212,6931.309087
2.8,0.481051353,0.503203376,-0.019458059,-0.859579741,3463021.983,4237012.509,6976.842233
2.81,0.485447685,0.50296669,-0.027877692,-0.824300171,3521941.835,4178087.917,7052.867352
2.82,0.489353519,0.502647908,-0.035876719,-0.775468619,3575365.949,4124658.048,7158.261726
2.83,0.492707257,0.502251894,-0.043324004,-0.713964022,3622409.339,4077608.427,7291.417269
2.84,0.495456008,0.50178477,-0.050098324,-0.640889866,3662297.028,4037714.626,7450.288327
2.85,0.497556423,0.501253814,-0.056090437,-0.557537729,3694375.792,4005630.471,7632.445167
